,Job Name,Job Company,Job City,Job Country,Job Type,Job Level,Job Level Years,Job Skills,Job Date
161,IT Administrator,Decorama,Shubra Alkhaymah,Egypt,Full Time,Experienced,5 - 15 Yrs of Exp,"Administration, IT/Software Development, Information Technology (IT), Computer Maintenance, Network Troubleshooting, Microsoft SQL Server, Network Administration, Networks, Networking, Kaspersky",3 days ago
162,Senior Backend Developer ( NodeJS - MongoDB ),QARA,New Cairo,Egypt,Full Time,Experienced,3 - 7 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Computer Science, backend, Information Technology (IT), MongoDB, Node.js, Software Development, Js, Software Engineering",4 days ago
163,Senior PHP Developer,"Izam, inc.",Mohandessin,Egypt,Full Time,Experienced,4+ Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Information Technology (IT), Telecommunication, PHP, PHPUnit, JavaScript, jQuery, CSS, SQL",8 days ago
164,Senior PHP Developer (Laravel),Our Education,Nasr City,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, PHP, Computer Science, Laravel, HTML5, CSS3, MVC, Programming, javaScript",3 days ago
165,IT Network Administrator,Roya Developments,Sheraton,Egypt,Full Time,Experienced,3 - 9 Yrs of Exp,"IT/Software Development, CCNA, Cisco, Computer Engineering, Computer Science, Information Technology (IT), IT, Network Administration, Networks, Security",6 hours ago
166,Database Administrator,Alexandria Business Association,Alexandria,Egypt,Full Time,Experienced,1 - 2 Yrs of Exp,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Computer Science, Database, Database Administrator, Information Technology (IT), Oracle, SQL, Administrator",11 days ago
167,MIS Automation Specialist,Giza Systems,New Cairo,Egypt,Full Time,Experienced,5 - 10 Yrs of Exp,"IT/Software Development, Communication, Automation, Database, English, Computer Science, Microsoft, MS Office, MIS, Quality Assurance",6 hours ago
168,Senior Software Tester,intrazero,Nasr City,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development, Quality, Engineering - Telecom/Technology, Software Testing, Quality Control, Software Development, Information Technology (IT), Mobile Testing, Security Testing, Computer Science",8 days ago
169,SAP SD Consultant,Arma,New Cairo,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development, computer, Computer Science, Implementation, Information technology, SAP, SAP SD, SD, Management, Information Technology (IT)",10 days ago
170,Senior UX/UI Designer,Dimofinf Operations Center,Nasr City,Egypt,Full Time,Experienced,3 - 6 Yrs of Exp,"Creative/Design/Art, IT/Software Development, Engineering - Telecom/Technology, Computer Science, Design, front-end, HTML5, Information Technology (IT), JavaScript, photoshop",1 day ago
171,IT Specialist,Arma,10th of Ramadan City,Egypt,Full Time,Experienced,2 - 3 Yrs of Exp,"IT/Software Development, Information Technology (IT), computer, Computer Science, LAN, MCSA, network, networks, Installation, Technical Support",10 days ago
172,Junior Flutter Mobile Developer,Engaz,Mokattam,Egypt,Full Time,Experienced,1 - 3 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Computer Science, flutter, Information Technology (IT), Software Development, Software Engineering, APIs",7 days ago
173,Quality Engineer - Giza,SE Wiring Systems EGYPT,6th of October,Egypt,Full Time,Entry Level,0 - 1 Yrs of Exp,"Manufacturing/Production, Quality, Engineering - Other, Engineering, quality, Quality Assurance, Quality Control, Science",3 days ago
174,Laravel Developer,34ML,Heliopolis,Egypt,Full Time,Entry Level,1 - 5 Yrs of Exp,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Computer Science, Software Development, Information Technology (IT), Software Engineering, MVC, Engineering, Git",3 hours ago
175,Senior Backend Developer,Engaz,Mokattam,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Engineering, Information Technology (IT), Software Development, Computer Science, Back-End Development, Software Engineering, Agile, HTML",7 days ago
176,"Software Engineer - (Laravel, Vue, Golang)",Our Education,Nasr City,Egypt,Full Time,Manager,5+ Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Information Technology (IT), Software Development, Software Engineering, Engineering, Computer Science, Web Development, PHP, OOP",3 days ago
177,Real Estate Data Analyst,LandPenguin,Henderson,United States,Full Time,Experienced,2+ Yrs of Exp,"IT/Software Development, Data, Analyst, excel, Real Estate",2 months ago
178,UI UX Designer,Future University in Egypt,New Cairo,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development, Marketing/PR/Advertising, Computer Science, UI / UX design, UX Design, Web Development",4 days ago
179,Information Technology Systems Manager,EELU,Dokki,Egypt,Full Time,Manager,15 - 20 Yrs of Exp,"males_preferred, IT/Software Development, Computer Science, Information Technology (IT), computer",17 days ago
180,SOC Analyst,Confidential,Cairo,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development, Computer Science, Information Technology (IT)",9 days ago
181,UI Web Developer,proleaders,Alexandria,Egypt,Full Time,Experienced,3 - 6 Yrs of Exp,"IT/Software Development, PHP, Computer Science, HTML, Web Applications, Web Development, JavaScript, Programming, Information Technology (IT)",9 days ago
182,Marketing Engineer,IKEN Technology,Maadi,Egypt,Full Time,Entry Level,2 - 4 Yrs of Exp,"Business Development, IT/Software Development, Marketing/PR/Advertising, Marketing, Research, Sales, media, Market Research, Computer Science, Advertising",4 days ago
183,Infrastructure Engineer,Decorative Glass And Arab Union Glass Group,Obour City,Egypt,Full Time,Experienced,5 - 8 Yrs of Exp,"males_only, IT/Software Development, Engineering - Telecom/Technology, CCNA, Computer Science, Configuration, Engineering, Information Technology (IT), Infrastructure, ITIL, MCSE",1 day ago
184,ChatBot Developer,Efada Technology,6th of October,Egypt,Full Time,Entry Level,1 - 2 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Computer Science, Information Technology (IT), Software Development, chatbot, Microservices",1 day ago
185,Senior Software Tester,Etisalat Egypt,Maadi,Egypt,Full Time,Experienced,1+ Yrs of Exp,"IT/Software Development, Quality, Engineering - Telecom/Technology, Computer Science, computer, Science, Software, Information Technology (IT), test automation, Planning",4 days ago
186,PHP Developer,intrazero,Nasr City,Egypt,Full Time,Experienced,1 - 3 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Laravel, PHP, Javascript, Jquery, OOP, Agile",10 days ago
187,Full Stack Developer,EYEIN CIT,Garden City,Egypt,Full Time,Experienced,3 - 10 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Full Stack, JavaScript, MySQL, CSS, HTML, Software Development, jQuery, Computer Science",11 days ago
188,AI Technical Team Lead (Computer Vision Focus & NLP),Lumin,Sheikh Zayed,Egypt,Full Time,Manager,4 - 7 Yrs of Exp,"IT/Software Development, Artificial Intelligence (AI), Team Leadership, Computer Science, Engineering, Software Development, TensorFlow, PyTorch, Python, Agile",3 days ago
189,IT Infrastructure Manager,Universities of Canada in Egypt,New Capital,Egypt,Full Time,Manager,5 - 7 Yrs of Exp,"IT/Software Development, Infrastructure, IT, Information Technology (IT), English, Communication skills, Engineering, Computer Science",8 days ago
190,Senior Software Developer,Rashideen Egypt for Trade,Katameya,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Android, .Net, ASP.Net, Computer Science, Information Technology (IT), Programming, JavaScript, Development",8 days ago
191,WFM -VBA- SQL Developer,Giza Systems,New Cairo,Egypt,Full Time,Experienced,5 - 10 Yrs of Exp,"IT/Software Development, Computer Science, Information Technology (IT), server, SQL, Troubleshooting, analytical, Communication, MS, Software Development",6 hours ago
192,Senior Java Developer,Giza Systems,New Cairo,Egypt,Full Time,Experienced,5 - 15 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Computer Science, developer, Information Technology (IT), Java Developer, senior, Software Development, Software Engineering, Java",6 hours ago
193,Digital Product Manager,Nahdet Misr Publishing Group,Mohandessin,Egypt,Full Time,Experienced,3 - 6 Yrs of Exp,"IT/Software Development, Project/Program Management, Media/Journalism/Publishing, business, Computer Science, Project Management, Market Research, Management, Product, software",10 days ago
194,IT Support Executive,Asfour Crystal,New Menia,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"Customer Service/Support, IT/Software Development, Engineering - Telecom/Technology, Communication skills, Computer Science, Information Technology (IT), Information technology, Customer Support, technical",3 days ago
195,Senior Investment Analyst,Al Ahly Medical Company,Giza,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance, Medical/Healthcare, Analyst/Research, Accounting, analytical, Analysis, Business Analysis, Computer Science, Finance, Financial",1 day ago
196,Senior Database Administrator,Fawry for Banking Technology and Electronic Payments S.A.E,Smart Village,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Database, Database Administration, Computer Science, SQL, Oracle, Administration, Engineering",9 days ago
197,Environmental Engineer,Confidential,Jazan,Saudi Arabia,Full Time,Experienced,5 - 12 Yrs of Exp,"R&D/Science, Engineering - Other, Environmental, HSE, Engineering, Science, Safety, Quality Assurance, AutoCAD",10 days ago
198,Web developer,AL MORSHEDY MALL,6th of October,Egypt,Full Time,Experienced,4 - 6 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Web Development, Software Development, API, Computer Science, Development, Front end, HTML5, Information Technology (IT)",12 days ago
199,BIS & IT Manager,3Sixty,Mohandessin,Egypt,Full Time,Manager,8 - 10 Yrs of Exp,"IT/Software Development, Communication skills, computer, Communication, Computer Science, Information Technology (IT), Planning, Microsoft Office, Management, Computer Engineering",4 days ago
200,IT Manager - Real Estate,Skywalk Developments,Sheikh Zayed,Egypt,Full Time,Manager,8 - 10 Yrs of Exp,"IT/Software Development, Project/Program Management, Engineering - Telecom/Technology, Computer Engineering, Computer Science, Information Technology (IT), IT, IT Manager, Manager, Real Estate",11 days ago
201,Senior CRM Engineer,IGI,Sheikh Zayed,Egypt,Full Time,Experienced,7 - 8 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, AutoCAD, CRM, Engineering, Real Estate, Computer Science, Information Technology (IT)",10 days ago
202,Senior Software Tester,qTech.,Mansoura,Egypt,Full Time,Experienced,3+ Yrs of Exp,"IT/Software Development, Quality, Engineering - Telecom/Technology, Engineering, Project Management, Information Systems, Information Technology (IT), Computer Science, Computer Engineering, Software",17 days ago
203,IT Administrator,GLC,Obour City,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"males_only, Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Information Technology (IT), Technical Support, Computer Science, DHCP, DNS, Linux, Security",8 days ago
204,IT Help Desk,Qsource,Ain Sokhna,Egypt,Internship,Entry Level,IT/Software Development,"Help desk, Information Technology (IT), English, Computer Science, computer, CCNA, Installation, MCSA, IT",11 days ago
205,Senior System Engineer,DataDriftIT,Nasr City,Egypt,Full Time,Experienced,2 - 4 Yrs of Exp,"Business Development, IT/Software Development, Engineering - Other, Computer Science, Information Technology (IT), MCSE, Troubleshooting, Computer Engineering, Cloud, Microsoft Office 365",6 hours ago
206,"Senior Full Stack, PHP, Drupal Developer",Orange Studio,Nasr City,Egypt,Full Time,Experienced,3+ Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, PHP, Full Stack, Web Development, Information Technology (IT), UI, UX, Drupal, Lamp Stack",3 days ago
207,Senior Backend Developer - Laravel,Confidential,Sheraton,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"males_only, IT/Software Development, Engineering - Telecom/Technology, Computer Science, Laravel, Backend, Software Engineering",3 days ago
208,SAP ABAP Technical Consultant,Confidential,Ar Rifa',Bahrain,Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development, Strategy/Consulting, Engineering - Telecom/Technology, ABAP, Computer Science, Analysis, Information Technology (IT), SAP, Software",15 days ago
209,Senior Wordpress Developer,9H Capital,Cairo,Egypt,Full Time,Experienced,5 - 8 Yrs of Exp,"IT/Software Development, Quality, Engineering - Telecom/Technology, Computer Science, CSS3, HTML5, Information Technology (IT), JavaScript, MVC, MySQL",1 day ago
210,Sr. PHP Developer,appcorp,Heliopolis,Egypt,Full Time,Experienced,3 - 6 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, HTML, Database, CSS, Computer Science, CodeIgniter, AJAX, Information Technology (IT), MySQL",8 days ago
211,IT Technical Support Engineer,Alwadi Holding,Mohandessin,Egypt,Full Time,Experienced,4 - 5 Yrs of Exp,"males_only, IT/Software Development, Engineering - Telecom/Technology, IT Service Management, Computer Engineering, Computer Science, CCNA, Telecom Engineering, MCSA, Vmware, ERP System",8 days ago
212,Senior .NET Developer,Dynamicslink,Nasr City,Egypt,Full Time,Experienced,5+ Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, .Net, Computer Science, Information Technology (IT), ERP, Science, Software Development, Software Engineering, NET",10 days ago
213,Senior IT Specialist,Green Valley,Nasr City,Egypt,Full Time,Experienced,5 - 7 Yrs of Exp,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Communication skills, Information technology, Information Technology (IT), Computer Science, networks",10 days ago
214,Python Developer - Django / Odoo,Teqneia,Sheikh Zayed,Egypt,Full Time,Entry Level,1 - 3 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Python, Django, APIs, Development, Information Technology (IT), Computer Science, Git, Odoo",14 days ago
215,Microsoft SQL Server Database Administrator,"The Micro, Small & Medium Enterprise Development Agency",Dokki,Egypt,Full Time,Entry Level,3 - 7 Yrs of Exp,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Computer Science, Configuration, Database, Engineering, Information Technology (IT), Installing, Microsoft SQL Server",11 days ago
216,Senior Product Designer,WUZZUF,Maadi,Egypt,Full Time,Experienced,5+ Yrs of Exp,"Creative/Design/Art, IT/Software Development, Engineering - Telecom/Technology, Adobe XD, Agile, Computer Science, Design, Development, Information Technology (IT), IT",4 days ago
217,IT Specialist,Mazloum Real Estate,Nasr City,Egypt,Full Time,Experienced,3 - 10 Yrs of Exp,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Computer Science, Information Technology (IT), IT Specialist, IT, Installation, Technical Support, specialist",16 days ago
218,SAP HCM Consultant/ SF,Arma,New Cairo,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development, Computer Science, HCM, Implementation, Information Technology (IT), Payroll, SAP",10 days ago
219,Flutter Technical Lead,LINK Development,Cairo,Egypt,Full Time,Experienced,7 - 15 Yrs of Exp,"IT/Software Development, Information Technology (IT), Computer Science",10 days ago
220,Senior Budget Controller,Global Academic Foundation Hosting University of Hertfordshire UH,New Capital,Egypt,Full Time,Experienced,5 - 7 Yrs of Exp,"Accounting/Finance, Accounting, Computer Science, Finance",10 days ago
221,Senior Business Analyst (Banking Background),BBI,Nasr City,Egypt,Full Time,Experienced,5 - 7 Yrs of Exp,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Business Development, Communication skills, Computer Science, Information Technology (IT), IT, analytical, Business Administration",17 days ago
222,Developer Analyst,Razaz Group,New Cairo,Egypt,Full Time,Experienced,2 - 20 Yrs of Exp,"IT/Software Development, Computer Science, Engineering, Information Technology (IT), Mobile Development, Software Development",18 days ago
223,Python Backend Developer Internship,Geek Labs,Maadi,Egypt,Internship,Entry Level,IT/Software Development,"Computer Science, JavaScript, Node.js, Python, Web developer, Backend Developer",13 days ago
224,Backend Developer (PHP),Paymint,Maadi,Egypt,Full Time,Experienced,2 - 5 Yrs of Exp,"Accounting/Finance, IT/Software Development, Engineering - Telecom/Technology, Computer Science, back-end, Information Technology (IT), PHP, Laravel, Software Engineering, Software Development",14 days ago
225,Senior Technical Product Manager,Kashier Payment Solutions,Zamalek,Egypt,Full Time,Experienced,3 - 6 Yrs of Exp,"Banking, IT/Software Development, Operations/Management, business, Software Development, Software Engineering, Communication skills, Product Management, Product, Project Management",14 days ago
226,Senior Project Officer,Misr Elkheir Foundation,Mokattam,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"Administration, Operations/Management, Project/Program Management, English, Architecture, Computer Science, Civil Engineering, Project Management, Engineering, Information Technology (IT)",8 days ago
227,Software Tester - Fully Remote Job,Confidential,Cairo,Egypt,Full Time,Experienced,1 - 5 Yrs of Exp,"IT/Software Development, Quality, Engineering - Telecom/Technology, Quality Assurance, International Software Testing Qualifications Board, Software Testing, System Testing, Testing, Automation Testing, User Testing",9 days ago
228,Junior Operations Engineer - Network/Cloud,Link Datacenter,Giza,Egypt,Full Time,Entry Level,0 - 1 Yrs of Exp,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Information Technology (IT), Communication, Operations, Project Management, SQL, Management, Communication skills",15 days ago
229,Senior Web Developer,EEC Group,Sheraton,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Computer Engineering, Computer Science, Information Technology (IT), Software Development, Software Engineering, Design Patterns, English",14 days ago
230,Senior UX/UI Designer,Masria Digital Payment (MDP),New Cairo,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"Creative/Design/Art, Design, Figma, UX/UI, Web, Adobe Suite, Axure, Sketch, InVision, Visual Design",11 days ago
231,IT Help Desk Specialist,Confidential,Mohandessin,Egypt,Full Time,Experienced,2 - 3 Yrs of Exp,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Help desk, Help Desk Specialist, Installation, Computer Science, IT, IT Help Desk, Information Technology (IT)",16 days ago
232,Oracle Database Administrator,Egabi FSI,Sheraton,Egypt,Full Time,Experienced,5+ Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Administration, Computer Science, database administration, Database, Information Technology (IT), Oracle, OCP, OCA",16 days ago
233,SAP FICO Consultant,Hamza Group,Dokki,Egypt,Full Time,Experienced,2 - 4 Yrs of Exp,"IT/Software Development, business, Computer Science, Customer Service, Customer Support, Information Technology (IT), SAP, Software, Software Applications, Troubleshooting",12 days ago
234,Senior Dot NET Full Stack Developer,Confidential,6th of October,Egypt,Full Time,Experienced,4 - 7 Yrs of Exp,"Business Development, IT/Software Development, Engineering - Telecom/Technology, Software, Computer Science, Information Technology (IT), Agile, Angular, .Net Framework, Full Stack Development",17 days ago
235,Network Engineer,Rashideen Egypt for Trade,Katameya,Egypt,Full Time,Experienced,2 - 4 Yrs of Exp,"Engineering - Telecom/Technology, CCNP, Cisco, CCNA, Computer Science, Network, Troubleshooting, Information Technology (IT)",11 days ago
236,DevOps Engineer - Fully Remote Job,Confidential,Cairo,Egypt,Full Time,Experienced,2 - 5 Yrs of Exp,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, DevOps, Information Technology (IT), Computer Science, Software Development, Ruby, Python, Bash",9 days ago
237,"Software Engineers (Python, DevOps ,UX/UI )",Hala Consulting,Sheikh Zayed,Egypt,Full Time,Experienced,3 - 13 Yrs of Exp,"IT/Software Development, English, DevOps, Software Development, Information Technology (IT), Computer Science",10 days ago
238,Assistant Project Manager,Allianz,New Cairo,Egypt,Full Time,Experienced,3 - 6 Yrs of Exp,"Project/Program Management, Engineering, Computer Science, Administration, Project Management, Office management",15 days ago
239,Export Sales specialist,Horizon Chemical for Special Chemicals,Alexandria,Egypt,Full Time,Entry Level,2 - 5 Yrs of Exp,"Customer Service/Support, Logistics/Supply Chain, Sales/Retail, Export, Export Sales, Sales, sales skills, Sales Specialist, Sales Target, Engineering",14 days ago
240,ERP Application Consultant,Rednet It Services,Cairo,Egypt,Full Time,Experienced,3+ Yrs of Exp,"Accounting/Finance, IT/Software Development, Engineering - Telecom/Technology, Information Technology (IT), ERP, Accounting, Microsoft SQL Server, C#.Net, Software Development, Software Engineering",15 days ago
241,Head of SAP,Intiqaal,Riyadh,Saudi Arabia,Full Time,Manager,5 - 20 Yrs of Exp,"Operations/Management, Engineering - Telecom/Technology, SAP Business One, ERP System, ERP, SAP, business, Computer Science, Engineering, Communication skills",11 days ago
242,Senior IT Executive - Giza,VFS Global Egypt,Dokki,Egypt,Full Time,Experienced,4 - 6 Yrs of Exp,"Installation/Maintenance/Repair, Computer Science, Hardware, Information Technology (IT), English, computer, Communication, IT, Software",15 days ago
243,Quality Assurance Testing Engineer,Confidential,Mohandessin,Egypt,Full Time,Entry Level,0 - 3 Yrs of Exp,"IT/Software Development, Quality, Engineering - Telecom/Technology, Communication, Computer Science, Engineering, quality, Quality Assurance, Quality Control, Software Development",15 days ago
244,Sr. Business Analyst,egabi solutions,Sheraton,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Project Management, Business Analysis, Business, English, Software",14 days ago
245,PHP Developer,Nano Shield,Maadi,Egypt,Full Time,Entry Level,1 - 3 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, PHP, Software Development, HTML5, Information Technology (IT), Yii, Computer Science, CSS3, Laravel",16 days ago
246,Product Owner,waffarha.com,Downtown,Egypt,Full Time,Experienced,2 - 4 Yrs of Exp,"males_only, IT/Software Development, Project/Program Management, Engineering - Telecom/Technology, Information Technology (IT), Agile, Communication, Computer Science, English, Software Development, Analytical Skills",17 days ago
247,Oracle Developer,Akhnaton for Trading & Distributing,Cairo,Egypt,Full Time,Entry Level,1 - 3 Yrs of Exp,"IT/Software Development, Computer Engineering, Computer Science, developer, oracle developer",18 days ago
248,IT Specialist,Typical,Maadi,Egypt,Full Time,Entry Level,1 - 3 Yrs of Exp,"males_only, Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Computer Science, Information Technology (IT), Installation, IT Specialist, specialist, Technical Support, IT",17 days ago
249,Identity Management System Administrator,Elaraby Group,Abbassia,Egypt,Full Time,Experienced,2 - 4 Yrs of Exp,"IT/Software Development, Other, Engineering - Other, Information Technology (IT), Computer Science, Engineering, Information Systems, Development, System Administration",15 days ago
250,Senior Full Stack Developer .Net + Angular,ICIS,New Cairo,Egypt,Full Time,Experienced,5+ Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Engineering, Computer Science, Information Technology (IT), Oracle, SQL, Asp.Net, MVC, HTML5",19 days ago
251,Research And Development Specialist,Easy Group For Health and Beauty Care,Bourj Alarab,Egypt,Full Time,Entry Level,1 - 3 Yrs of Exp,"R&D/Science, Chemistry, Research, science, Lab Analysis",24 days ago
252,Senior IT Systems & Networks Administrator,Transmar International,New Cairo,Egypt,Full Time,Experienced,6 - 10 Yrs of Exp,"IT/Software Development, Computer Science, Networks, Information Technology (IT)",16 days ago
253,Software Tester,tamaz,Cairo,Egypt,Full Time,Entry Level,0 - 3 Yrs of Exp,"IT/Software Development, Agile, Computer Science, Information Technology (IT), Quality Assurance, Quality Control, Software, Software Testing, Testing, Regression Testing",19 days ago
254,Java Developer,Spirawn,Washington,United States,Full Time,Experienced,2 - 4 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Java, Spring Boot, Java Developer, Information Technology (IT), Spring, Software Development, Computer Science, Angular",23 days ago
255,Senior Full Stack Developer,Confidential,Cairo,Egypt,Full Time,Experienced,3 - 7 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Angular, ASP.Net, SQL, JavaScript, Git, MVC, Software Development, .Net",18 days ago
256,Animator,National Security Services,Riyadh,Saudi Arabia,Full Time,Not specified,Creative/Design/Art,"IT/Software Development, Engineering - Telecom/Technology, Animation, Adobe Photoshop, Adobe Illustrator, Design, Graphic Design, Information Technology (IT), Computer Science",10 hours ago
257,Security Supervisor,Tamdeen Group,Kuwait City,Kuwait,Full Time,Not specified,IT/Software Development,"Legal, Engineering - Telecom/Technology, Security, Information Technology (IT), Computer Science, Engineering, CISSP, CISM, Computer Engineering",1 day ago
258,Entry-Level Remote Administrative Clerk,Sports for Granted,Riyadh,Saudi Arabia,Full Time,Not specified,Administration,"IT/Software Development, Engineering - Telecom/Technology, administration, information technology (it), microsoft office, computer science, data entry, communication skills, maintenance",11 hours ago
259,Entry-Level Remote Administrative Clerk,APcursos,Dubai,United Arab Emirates,Full Time,Not specified,Administration,"IT/Software Development, Engineering - Telecom/Technology, administration, information technology (it), microsoft office, computer science, data entry, typing, computer",2 days ago
260,Logistics Process Analyst,Wallenius Wilhelmsen,Dubai,United Arab Emirates,Freelance / Project,Not specified,Business Development,"Logistics/Supply Chain, Analyst/Research, Logistics, Supply Chain, Analysis, Business Analysis, Arabic, BPMN, Business",3 days ago
261,Junior Information Security Analyst (Remote),Winged Recruitment,Doha,Qatar,Full Time,Entry Level,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, information technology (it), computer science, software development, software engineering, analysis, security, development",2 days ago
262,Senior BI Analyst,KnowledgeNet,Cairo,Egypt,Full Time,Not specified,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Analysis, Business Analysis, Finance, Software Development, Accounting",4 days ago
263,Entry-Level Remote Administrative Clerk,FCV Masterz Sdn Bhd,Riyadh,Saudi Arabia,Full Time,Not specified,Administration,"IT/Software Development, Engineering - Telecom/Technology, administration, information technology (it), microsoft office, computer science, data entry, management, typing",4 days ago
264,Junior Agronomist,ElBoghdadeyah Group,Sheikh Zayed,Egypt,Full Time,Entry Level,1 - 4 Yrs of Exp,"R&D/Science, Operations/Management, Quality, Agronomy, Research, Plant Science, Plant, Soil, Crop, Agriculture",24 days ago
265,Analyst - Internal Audit,Masdar Azerbaijan Energy LLC,Abu Dhabi,United Arab Emirates,Full Time,Not specified,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Analysis, Information Technology (IT), Computer Science, Business Analysis, Finance, Accounting, Microsoft Office",4 days ago
266,Senior Data/BI Engineer,Evolvice GmbH,Maadi,Egypt,Full Time,Experienced,4 - 6 Yrs of Exp,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, BI, Big Data, Business Intelligence, Information Technology (IT), Software Engineering",2 months ago
267,HSE Specialist,Al,10th of Ramadan City,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"males_only, R&D/Science, Engineering - Construction/Civil/Architecture, Quality, HSE, IGC, NEBOSH, Science, Manufacturing, Engineering, Environment",24 days ago
268,Medical Claims Officer,Allianz Partners,Cairo,Egypt,Full Time,Entry Level,Administration,"Medical/Healthcare, Pharmaceutical, Medical, Pharmacy, Administration, Insurance, Microsoft Office, Medicine, Claims",7 days ago
269,iOS Developer,Norconsult Telematics,Riyadh,Saudi Arabia,Freelance / Project,Entry Level,IT/Software Development,"Quality, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, iOS, Software Development, Software Engineering, Android, Swift",7 days ago
270,Senior Knowledge Analyst,Boston Consulting Group (BCG),Riyadh,Saudi Arabia,Full Time,Experienced,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Analysis, Business Analysis, Finance, Accounting, Financial Analysis",7 days ago
271,Entry-Level Remote Administrative Clerk,IVY Models&Promotion,Riyadh,Saudi Arabia,Full Time,Not specified,Administration,"IT/Software Development, Engineering - Telecom/Technology, administration, information technology (it), microsoft office, computer science, data entry, communication skills, maintenance",8 days ago
272,Customer Experience Lead - NEMA,Johnson & Johnson,Cairo,Egypt,Full Time,Not specified,Administration,"Customer Service/Support, Sales/Retail, Customer Care, Customer Service, Customer Support, Call Center, Microsoft Office, Customer Experience, Data Entry",8 days ago
273,Full Stack Developer,Prometeon Tyres Group – Egypt  (Ex,Alexandria,Egypt,Full Time,Experienced,3+ Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Agile, AWS, Computer Science, front-end, Git, Information Technology (IT), JavaScript, Python",24 days ago
